winner,weight_class,title_fight,height_fighter1,reach_fighter1,stance_fighter1,SLpM_fighter1,Str_Acc_fighter1,SApM_fighter1,Str_Def_fighter1,TD_Avg_fighter1,TD_Acc_fighter1,TD_Def_fighter1,Sub_Avg_fighter1,win%_fighter1,height_fighter2,reach_fighter2,stance_fighter2,SLpM_fighter2,Str_Acc_fighter2,SApM_fighter2,Str_Def_fighter2,TD_Avg_fighter2,TD_Acc_fighter2,TD_Def_fighter2,Sub_Avg_fighter2,win%_fighter2,reach_diff,age_fighter1,age_fighter2
1,Middleweight,f,187.96,193.04,Orthodox,3.75,50.0,1.21,68.0,1.59,60.0,59.0,1.1,84.0,182.88,200.66,Orthodox,3.44,52.0,3.61,52.0,0.93,38.0,71.0,0.3,60.869564000000004,-7.6200000000000045,31,32
1,Lightweight,f,177.8,177.8,Southpaw,3.51,45.0,2.55,55.0,0.73,55.0,55.0,0.7,73.333336,172.72,175.26,Orthodox,3.67,40.0,4.04,62.0,0.75,36.0,75.0,0.0,57.894737,2.5400000000000205,26,32
1,Heavyweight,f,200.66,203.2,Orthodox,5.31,60.0,2.39,56.0,0.86,75.0,75.0,0.3,81.08108,190.5,195.58,Southpaw,3.43,45.0,3.08,44.0,1.09,24.0,69.0,0.0,75.0,7.619999999999976,28,31
1,Featherweight,f,175.26,165.1,Southpaw,3.52,41.0,4.82,50.0,0.39,25.0,52.0,0.0,45.16129,170.18,175.26,Southpaw,3.21,45.0,3.5,53.0,0.52,16.0,32.0,0.0,57.894737,-10.159999999999997,30,25
0,Middleweight,f,195.57999999999998,200.66,Orthodox,2.38,51.0,3.02,40.0,2.87,64.0,66.0,1.0,73.68421,182.88,185.42000000000002,Orthodox,2.87,31.0,3.78,56.0,0.0,0.0,22.0,0.0,73.333336,15.23999999999998,34,27
0,Flyweight,f,162.56,165.1,Orthodox,2.85,42.0,3.09,52.0,2.51,36.0,65.0,0.3,73.68421,165.1,167.64000000000001,Orthodox,3.6,45.0,2.45,62.0,2.0,44.0,55.0,0.0,90.0,-2.5400000000000205,31,26
1,Lightweight,f,175.26,195.58,Orthodox,4.06,45.0,2.96,52.0,3.33,42.0,75.0,1.1,85.0,172.72,180.34,Orthodox,2.83,54.0,2.93,36.0,0.0,0.0,25.0,0.8,86.666664,15.240000000000009,24,28
0,Women's Strawweight,f,160.02,165.1,Orthodox,3.68,49.0,4.64,56.0,0.0,0.0,33.0,0.0,60.0,160.02,162.56,Switch,3.55,44.0,3.2,51.0,1.53,38.0,28.0,1.8,44.444443,2.539999999999992,32,25
0,Heavyweight,f,193.04,195.58,Orthodox,3.97,53.0,3.3,54.0,0.0,0.0,28.0,0.0,76.47059,193.04,203.2,Orthodox,3.47,41.0,4.34,49.0,0.32,50.0,40.0,0.3,81.818184,-7.619999999999976,33,28
1,Welterweight,f,182.88,190.5,Southpaw,2.49,30.0,2.86,52.0,1.09,38.0,66.0,0.9,77.77778,190.5,187.96,Southpaw,1.89,46.0,2.73,56.0,1.23,30.0,72.0,0.0,71.875,2.539999999999992,32,32
1,Women's Bantamweight,f,167.64000000000001,172.72,Orthodox,3.41,41.0,2.45,67.0,0.26,100.0,52.0,1.2,64.28571,160.02,154.94,Orthodox,0.87,31.0,3.43,58.0,2.34,45.0,0.0,0.0,68.75,17.78,39,27
0,Bantamweight,f,165.1,177.8,Switch,3.29,41.0,3.45,47.0,0.78,100.0,26.0,0.0,81.818184,170.18,180.34,Orthodox,3.41,45.0,4.74,55.0,3.72,48.0,78.0,0.5,88.23529,-2.539999999999992,27,24
1,Welterweight,f,177.8,185.42000000000002,Orthodox,4.59,46.0,4.2,59.0,0.57,33.0,53.0,0.0,90.90909,180.34,185.42000000000002,Orthodox,1.64,19.0,7.21,53.0,0.0,0.0,0.0,0.0,50.0,0.0,31,36
0,Lightweight,f,177.8,185.42000000000002,Southpaw,4.31,38.0,3.96,58.0,0.59,45.0,77.0,0.1,60.60606,180.34,177.8,Orthodox,8.53,54.0,10.54,53.0,0.0,0.0,80.0,0.0,90.47619,7.6200000000000045,31,29
